number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0424,c57141f3-702c-4e7a-a1cc-9ed0715e9227,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0428,26ccfbe7-a5b3-4b46-ad9f-6b517aea6086,America/Indiana/Indianapolis,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0430,33012fe3-e0a4-407f-9371-5736c837091b,America/Chicago,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0432,6e1f6565-c8a1-4b9a-940d-a8ba9bd0de70,America/New_York,11:00,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0434,b18e8e6d-483d-4bd5-baaf-1e2fd5c1e26a,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0435,8c8758af-2f88-4300-842f-0ffc082bb272,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:30,10:00,21:30
0437,57a4d334-8e46-47bc-91c2-47b8e3740099,America/Chicago,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0441,27951dca-070f-463e-b09f-94220baeed6a,America/Los_Angeles,11:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0442,e547d522-07c6-4eb5-8c70-0aac69746462,America/Los_Angeles,11:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0444,e585ae6d-ff89-4d95-adf6-23d15fb5e784,Africa/Casablanca,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0445,3d7819f1-c6a6-47e7-8d76-d3a87322d574,America/Detroit,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0446,d32b784e-0ce1-4125-b2e1-944493b0db5b,America/Los_Angeles,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0447,16b9abde-055e-4fda-8af9-25c3c5e3af68,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0448,f02a725c-7bbe-4f61-9624-0c3f4a284338,America/New_York,12:00,17:30,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0449,580dad68-ddb4-4c1d-b5a1-40f06fcb76e5,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0450,24fe0fc0-d7ad-4af6-b031-9e548ab34933,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0453,4796f771-e137-44e2-badf-c217b8cdc2fe,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0454,5d633f4f-2d7d-4532-aa77-e997a7038f59,America/Los_Angeles,12:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
0457,387aab11-1467-4b66-9494-8c4ea2cfc6b2,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0458,4950d79e-6e24-46dd-8603-3b6ce71de22e,America/Los_Angeles,11:00,19:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,21:00,10:00,21:00
0459,1576cb42-4f82-4b9f-a37f-c5b8e542be84,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,22:00,10:00,22:00
0461,5e3486ae-e368-42b5-8762-730d1af65091,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0463,d0bb4fd5-7f4a-4666-8a9d-c82a21617449,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0464,3feb25e2-a188-43bf-9707-915deb7d24b0,America/Los_Angeles,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0467,c2a5d8d0-62f9-42c5-84c5-4bec8eb63476,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0469,43e5d300-b7e5-4726-8501-3b41fa72bc6e,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
